,customer,title,stars,review,date
10,Amazon Customer,"Too expensive, use your library",1.0,"This is far too expensive at £7.99 a month for one audio book.  At local libraries you can lend audio books for £2,00 each and you can reserve from other libraries so there is a great range to choose from.  Keep libraries going and save your money.",7 February 2017
11,Bell,too expensive,1.0,the books are far too expensive ..i would pay for it if the books were cheaper but its far too expensive specially when all of them are on youtube for free.,26 January 2016
12,firae55,FRUSTRATION,1.0,"I've had a bug or error message on every version of the Audible software I've tried, which I find incredible. It's incredibly frustrating.Here's my 'customer journey' as of when I renewed my membership about 2 days ago.- finished an audiobook, so I decided to renew membership on Audible (via my iPhone 5S, iOS 11) and pick out something new.- tried to apply for trial, which is plastered all over my Audible app even when I'm logged in. Error, can't apply for trial when you've been a paying customer before. OK, annoying, why is it screaming at me about the free trial then? I'd quite like a new book to listen to on my way home so I'll renew it anyway.- On iPhone 5S, connected to WiFi: Renewed membership, fine. OK, picked out a book. Go to download ... failed. Server error.  OK so try again. Same error. Restart app. Same error. Googled issue - http://audible.custhelp.com/app/answers/detail/a_id/4986 - says change download quality setting - changed in app. Same error. Googled again - reinstall app - OK, reinstalled app -- SAME. ERROR. Turned off wifi, switched to 4G, SAME. ERROR.- Gave up on iPhone 5S. Connected phone to iMac. Logged in via Audible website - downloaded file, ran out of time and didn't sync. So gave up for a couple of days.- Tried to get audiobook file onto my phone again a few days later: Logged into website on a windows 10 PC, different location. Plugged in iPhone 5S. Updated iTunes ready to go. Clicked download on audiobook - file 'admhelper' (no extension) downloads. File does nothing. Googled filename - supposed to trigger Audible software??? Google searched Audible software, because it's not mentioned in my audiobook list 'control panel'. Forced to install software via Windows App store. Downloaded, installed, signed in, OK now surely ???- Download audio book. OK - its downloading onto my PC. OK - right-click import to iTunes? Should work? -- Program does not respond. Then, 20 seconds or so, error message: iTunes is not installed. (Yes it is, I just updated it and it's open).- OK, restart iTunes. Restart Audible. Try again. Does not respond, same error. Try again. Same error. Try again -- success! Sync with Audible/iTunes.I CAN TELL YOU RIGHT NOW I AM NEVER GOING THROUGH THIS AGAIN.",28 January 2018
13,Judi,I don't get why I'd do this,1.0,I don't get why I would do this. It reads as if you are getting a good deal as a prime member. Not a bit of it. I don't even buy books at that price. Libraries and bargains are great. Can't think why I would pay £7.99 a month for a very expensive single audio book per month,29 May 2017
14,H,Must concur with every review that I've read here. ...,1.0,"Must concur with every review that I've read here. It's over-priced, which is a real shame, because it would've stopped people staring at mobile phones, and at least get their eyes moving in other directions.",8 December 2016
15,PHILSAM53,Chaos will ensue !!,1.0,"I wish I knew what all the fuss about ?, except for blind people that have not mastered Braille as of yet.It's this kind of thing that's contributing to the younger generation being lazy,obese & ever more dependent on AI/computers/robotics !!We have evolved with an excellent intricate organs to see EVERYTHING IN COLOUR,plus 20/20 vision with which to see vast distances, & perception of depth,so very soon it'll start with house butler robots,teachers,nannies etc,all rolled into one,then a short time after that it'll end up living just as Bruce Willis's movie, ""SURROGATES"" So just to end my rant [which I actually typed myself with the minimal of effort !!]I'd really love to hear from the tech giant corporations etc,on what they intend to do it the ever increasing solar flares losing a threat of even if countries decides to attack each other using big EMP PULSES,as after only a few hours it would cause MASS CHAOS WORLDWIDE,since there's NO BACK UP AT ALL,everything is computer run !! So all electronics dead/useless,so no banking,no fuel,no buying food,nuke reactor beat up,planes,hero's,trains etc,etc,etc,EVERYTHING NOW DEAD,again with no back up,so extremely fast it would explode into chaos on a scale never witnessed,so please just keep reading books yourself it's for your own good !!",3 November 2018
16,PeterDz,Not for me either,1.0,"Not worth bothering. I thought I was being offered a free audio book, even if only as bait. As far as I can see I get a choice from a collection of pretty poor looking books and am asked to pay £100 for the privilege. I will stick to my Kindle app. Most of those books I can buy at airport bookshops - if I must have them.No thanks. Try harder Amazon, you have some good offerings, don't take your eye off the ball!",24 May 2017
17,Danny Fletcher,Price remodel much needed!.,1.0,"Whilst the audiobooks are very well narrated, £7.99 seems way too excessive for just one book a month on a subscription based service.For £7.99 I'd expect to be able to stream any book without owning (think Netflix for audiobooks) with an  option just to buy a book or 2 without the subscription service (and be able to own the purchased book) for use whenever would also make sense.",8 January 2017
18,Ned,Quite why Amazon have to over complicate everything escapes me ...,1.0,"Quite why Amazon have to over complicate everything escapes me !One book a month, £7.99 is too expensive, and once again I notice the price in the United States is cheaper.... Probably because Americans won't put up with being over charged",27 February 2017
19,Nitsan Simantov,Overpriced! - Try Kindle Unlimited instead!,1.0,1 book for £7.99 a month? What a joke.But a bit more searching shows that Amazon's Kindle Unlimited is MUCH better value. A million books and thousands of audio books for the same price as Audible's one book.I'm doing the free trial of Kindle Unlimited right now.,3 March 2016
20,InMyChair,Too expensive .....,1.0,You must be having a laugh. Far too expensive for occasional use!,14 March 2017
21,Culluding,"Ouch! I can get a ""real"" paperback book for less than that.",1.0,"£7.99 for a single audio book sounds like a big rip-off to me! Am I missing something? From what I read, for £7.99 per month I get one ""free"" book per month. Ie: £7.99 per book. It doesn't sound like a very good deal to me...",1 March 2017
22,Andromeda's Twin,Audible does not work on your pc now unless you have window 10,2.0,"I used to love audible, until yesterday when the download manager stopped working, because, apparently:'' In order to properly work Audible the operating system of windows PC must have windows 10 installed.  I request you to please upgrade the PC and follow the below steps to download Audible app''Quote taken from an email response and a live chat response that they insisted I engage in....- NOW this is intrusive at least, and and simply disgusting, I have paid for these books that I am trying to download and this company is trying to force me to pay more money to Microsoft to upgrade to an OS that nobody likes and I personally loathe, in order to gain access to my own purchases ! How could I possibly give them a good rating? I tried complaining, I asked where to direct my complaint, I did so, and received exactly the same response, they do not care about their customers, we are surplus to requirements !",31 July 2020
23,Stuart79,"Good value, but would prefer a streaming service",4.0,"I bought an annual membership up front at £69.99 for 12 credits - pretty good value, as that works out at just £5.80 a book.  Especially if you go for the longer books costing over £25 or so.Having said that, though, Audible's advertised 'regular price' should be treated with a pinch of salt.  ""America - Empire of Liberty"", for example, is shown as £27.99.  Now I would never pay that in a month of Sundays - the same audiobook can be bought elsewhere (without a lot of searching, either) for just £9.99.  So I would happily use one credit at £5.80 to purchase, download and own it.The overall range of books is very impressive - I especially like documentaries and radio drama, and even there, there are literally hundreds to choose from.Overall, though - I'd have preferred an all-you-can-eat streaming service, something like that offered by Netflix or Spotify.  I'm not fussed about owning a book - I'd be much happier to listen to it once, then move on to something else.",24 December 2019
24,GG9,Signing up customers without permission - amazon should be ashamed,1.0,"As a long standing amazon customer I cannot comprehend how they find it acceptable to:A. Push sell a subscription to a six year old (asking Alexa to play Disney music does not warrant offering an Audible subscription)B. Starting the subscription when the six year says no to the subscription (Alexa had the conversation history)C. Amazon customer services having removed the email option spend 2 and a half hours refusing to raise a complaint andD. using tricks such as transferring without warning, colleagues pretending to be managers etc; andE. Now an update: going ahead with the subscription which I was repeatedly assured that had cancelled.Amazon used to have market leading customer service but now see customers as a quick buck as they seek to dive profits.Disappointing",27 February 2020
25,Hadrien,Two Stars,2.0,"Audible should be like Instant video, with unlimited access to all the book not just one a month.",29 September 2015
26,Kat,Way too expensive,1.0,No thank you!,18 September 2016
27,D. Eastwood,APPALLING,1.0,Disgraceful. Where to start? I purchased a book for 99p with Amazon (as in not Audible) which said free audiobook - it won't play. Have contacted Amazon support who referred me to Amazon Audible who told me I had to sign up to be able to listen to it. The Amazon support team on the contrary said I should be able to listen without joining Amazon Audible. NONE of them have successfully told me how I listen to this book. I did try A Audible but the selection and the prices are totally ridiculous and not worth the subscription money. Amazon are out of line here I 'll bet they don't publish this review they need to get their act together seriously with audio books period.,12 January 2017
28,L. P. Jackson,£7.99 for ONE book a month your joking!,1.0,"Far too over priced, I think £7.99 on top of what I pay for Kindle is ridiculous, definitely not for me!",3 January 2017
29,emesbee,... Audible and have to say this is not a good deal. For £109 you can get an annual ...,1.0,"I am a long time member of Audible and have to say this is not a good deal. For £109 you can get an annual subscription that gives you 24 credits that can be used when you want within that year, much better value and flexibility. Have to say that Audible customer service has becaome pretty useless since they got sawllowed up by the monster that is Amazon. Also in the UK we seem to miss out on a lot of titles available on Audible in other countries which is very dissapointing. Having said all that if you want an affordable way to listen to lots of audiobooks then you have nowhere else to go (legally anyway). One thing I will praise is the Audible app on android which is easy to use.",20 August 2016
30,riccol1966,First of all I thought I was getting the book ...,1.0,"First of all I thought I was getting the book and the audible version, it turns out I'm getting ONLY an audible version. What I wanted was to be able to read my book and then listen to audio at certain times. Secondly I got some American sounding narration which is not what I wanted. So no, I wont be investing. I'm out.",20 April 2017
31,A. Natural,Excellent,5.0,"I was a previous member but had to cancel unfortunately due to circumstances, and have now signed up again. I prefer to listen to books rather than read them and I love how quick, easy and convenient is to do that on audible, at the touch of a button! I do agree though that the majority of books are way too expensive but bear in mind you get 1 free credit a month, which you can use to purchase any book, no matter the price. You can also swap it in exchange for another anytime, whatever the reason. Sometimes the book turns out to not be what I thought it was, or I can't finish it because that particular narrator's voice grates on me. All in all, I think the price of an audible membership is well worth it, (you also get a 30 day free trial) and would highly recommend. Some older books that I hoped to find are not on there though - please keep adding more and offer a wider selection!",4 March 2018
32,Lee Edwards,This has potential bit it is poor value for money.,1.0,"I have a good commute to and from work, and I thought I would try audible to listen to books while I drive. I have to say, it is working very well for me. I really enjoy it. The problem is going to be one book a month for the monthly fee. I'm going to need at least 2 a month, maybe more. Its a bit pricey when you consdider Netflix is only £8 a month with no restrictions other than what's available. Thanks Amazon, but it looks as though I will be looking elsewhere.",23 November 2019
33,Sandra Hänßler,"Terribly intransparent, bordering on fraud",1.0,"Audiobooks are nice and all, and Audible could be such a wonderful thing.But their subscriptions really are overpriced and not transparent at all!I had been listening to German and English audiobooks. I cancelled my subscription on Audible.uk but kept being charged by Audible.de, so apparently Audible.de and Audible.uk are not synched. I paid for credits that I can't even use from the UK, and when I cancelled my subscription on Audible.de all my credits just got wiped!Every time I give in to their Marketing and subscribe again something like this happens.Can't recommend Audible at all!",30 March 2020
34,"Katkin

TOP 500 REVIEWERVINE VOICE",Please sort the issues Audible,2.0,"I want Audible Membership to be so good, I want to be part of it, I want to be excited about getting a new book and I don't even mind paying a monthly fee. How can I do this? The reviews are not good at all, my head is saying no, even though my heart is saying yes. I have some audible books that I have bought with books on my Kindle. I struggled with some as I wasn't keen on the narrater but recently I have listened to some on my Echo that I have really enjoyed them. The next progression is to make it a permanent thing but there are so many questions that people are asking about cost and formats etc I feel that I would be better off staying with buying an audible book with my kindle book occasionally. I'm so disappointed, I hope that these issues are sorted out soon. Audible must be losing money by not getting this right.",7 August 2018
35,Mummy,I like many others have prime and it would definitely be ...,1.0,I don't care how big the collection of books they let you choose from it's far to expensive. I like many others have prime and it would definitely be nice to get a free perk once in a while. Without the oh free for 3 months draw in. !!,11 June 2017
36,Pla,I do like listening to the books but it's way too expensive ...,2.0,I do like listening to the books but it's way too expensive - paying a subscription + price of books it's just far too much.,28 May 2017
37,Katie Reed,Best customer service of any company I've ever dealt with.,5.0,"They have the best customer service of any company I have ever dealt with. Two of the occasions I contacted them I felt my requests were fairly complicated and they handled it professionally and politely. I've contacted them 3 times in total and have always had resolutions quickly and with no effort on my part. It's great value for money, the quality is amazing and I can't recommend enough. Jess and Gaurav in particular were really helpful to me. You can even return a title you don't finish if you don't like it, which sometimes comes in handy as a book can't always be judged by its cover. I have been a member for years (my mum too) and wouldn't be without it. My mum uses it to relax and wind down whereas I use it to keep me company on long stressful commutes. Definitely recommend!",5 November 2019
38,Angie,"Feel scammed by sneaky ""advertising""",1.0,"If you've ever had an audible account before, beware!I was logged into my amazon prime account a couple of weeks ago when I saw an advert for a 30 day free trial for audible. I clicked on it out of interest, where I was told that since I'd used audible previously I wasn't eligible. I thought no more about it.I woke up this morning to find 7.99 had been taken out of my account. Without my knowledge, that single click (simply enquiring about a free trial!!) had restarted my account and begun to charge me monthly.The real slap in the face is that had I had I not been logged into an account I pay to use, they couldn't have automatically taken money from me. I don't know how it's legal. I'm furious",25 February 2019
39,RH,Expensive but worth the outlay,5.0,"Yes it is fairly expensive at £7.99 a month and if you are using it for 76 page books maybe you should just be buying the books, but there are some huge tomes out there available for the cost of the monthly rental, along with such things as various radio series available, complete and unabridged. I am currently working my way through the Harry Potter series - I never had the patience to read them.Stephen Fry is absolutely superb as the narrator, is a real pleasure to listen to and brings J K Rowling's stories to full and exciting life.",23 October 2017
40,Ninja Steve,Makes a one step process a 90 step nightmare,1.0,"So it should be just ...'buy>download>move to mp3>listen""Sounds easy right?Wrong.-Buy-download an unneeded app-login-download the book -register your mp3 player-move to mp3-won't work-change to aa-aa doesn't work on an mp3 unless it's in single channel audio (one earphone)-try and convert audio to mp3? oh drm I cant- listen to your book on one earphoneYou couldn't have made the process anymore annoying. I'd love to listen to audiobooks but how is this possible?? just let people download them in mp3 or flac.",26 August 2019
41,S Smith,"Almost bought, then realised it's a crappy deal.",1.0,"I was so excited when I saw loads of books on Audible…I'd even clicked to start my free trial, then realised it was for one book per month. That's a bad deal. We don't have a TV so listen to the radio and books on CD pretty much all day. I'd be happier if it was either unlimited or say five books per month. I'd rather own the book or CD or get it from my library at that price.",3 March 2017
42,Pontylad,Get a free app instead .,1.0,"There are apps out there which allow you to access thousands of free podcasts including books .The books generally are out of copyright and therefore tend to be classics read by volunteers but all the better for that .I've gone through Dickens ,Austen ,Elliot  ,Trollope ,Thackeray etc etc this way and am now on foreign classics Tolstoy ,Hugo etc .If you can get this for free why would you pay £7.99 per month ? I do like lighter more modern stuff but this means I can read these in book form and get the classics while walking the dog ,driving ,waiting for an appointment and so on.",31 July 2016
43,James Walsh,"One in a million - Thank you Audible, tech-knowledge-E at its best!",5.0,"I love the convenience of being able to ""read"" a book while out walking, running, cycling or driving.Why I rate Audible way above the competition is :5. Their background program that makes relevant recommendations to me - They advertise to me books that I would never have heard of that I thoroughly enjoy.4. Their selection of narrator is generally ideally matched to the subject3. The convenience of 1-Click ordering (but if they were to make one tiny overall improvement, it would be to allow the facility for a user to seamlessly join a USA account and UK account without having to sign in and out)2. The amazing selection of such a huge variety of books on such a wide range of topics1. Most of all, it its the overall package, the overall experience, the overall convenience. I love the way Audible have developed and delivered technology at its best to make my life much more enjoyable.Well done to all of you. Thank you all.Jim Walsh Ireland",17 July 2016
44,Charlene,Not value for money,1.0,I really like the concept but it has been way over valued by amazon. Very expensive subscription for one book a month. I'm probably not going to take this up after the fee trial.,4 February 2017
45,Patrick Dee,"Great service , just too expensive",3.0,"Way too expensive, most people end it after the trial , I think all books should be free as long as you continue with membership , ok I don’t expect to keep the book, but it would be great to read what I like when I like , also the membership charge needs to be reduced , it’s a great service don’t get me wrong , I love it, just wrong in many ways .",26 June 2020
46,Busymumof2,Back to the library we go!!!,1.0,"I received an email stating a free audiobook, so I click through to the page where it states that I've already had a free trial back in 2014 ( not true)  but that I can sign up for £7.99 per month. Thinking I can get an unlimited supply for my children, but it was a good thing I read more where it stated one book a month. That's a total rip off. Sorry kids it's back to the library!!!",22 January 2017
47,Lien Lavell,overpriced,1.0,Literally only did this for the free trial and i have ended that sooner than the full trial.i am not paying that much only for a MP3 of a book a month!! you jokers.,2 April 2017
48,R S.,"This is not customer service you are dealing with, it's a bunch of protocols",1.0,"I was charged for over a years worth of membership without realising this was happening. What is worse, is that I couldn't even see this was happening: When I logged in to my audible UK account, I could see the books I had ordered, but not the invisible monthly subscription that was apparently going on at Audable.COM.After contacting Audable UK customer service and trying to find out why I was being charged for something I didn't ask for, after 30 mins I was literally just given the contact page for the .com website and told to go sort it out. No transfer, no internal communication.4 - 5 hours of time on phone and chat, and 2 weeks on talking to Audable and my bank, no refund received. They apparently could not refund to my current card, so of course Bank can't process refund.What else can I do but leave a review? Nothing.",9 December 2020
49,Totton Reader,Too expensive by far,1.0,Way too expensive for one book a month,28 May 2017
50,David,"Great service, great value",5.0,"Audible is a great service, and a very handy way of reading books when your hands are busy on menial tasks, with a very user-friendly interface on the iOS and Windows Store appsKeep in mind that buying the audiobooks usually costs more than paper books, but Amazon allows you to buy extra credits at a reasonable price, making this affordable even if you go through more than one book per month like me, or if you just HAVE to finish that trilogy earlier.One of the best features is the synchronising of progress across multiple devices, much like kindle. When I listen to an audiobook during my commute, I can switch to listening on my PC as soon as I get home, and the syncing means I don't have to manually fiddle with progress bars and remembering where I left off, because the service does it for me.",22 August 2016
51,D. A. MACCOLL,"Very good system, but full price books are very expensive",3.0,"Generally a good system and certainly the monthly savings are considerable, if you can limit yourself to one book per month. I find it frustrating that I cannot play back using my I pod nano, although iPhone and iPad are fine, this is because the play back device must have the app. That said, the ability to move listening between various devices and pick up automatically where you left of is great. My main problem is limiting my self to one book a month as the full price books are very expensive, I spend over 30 hours a month commuting by car and have to ration the play back to spread it through the month, as I am finding it such a pleasure and a pleasant diversion from Radio spoken word.",15 May 2016
52,CrashBros,This works very well and was an interesting experiment- especially ...,4.0,This works very well and was an interesting experiment- especially as I do a lot of miles in the car. However it is too expensive and I will not continue- my preference would be pay as you go,22 March 2017
53,Ruth,An absolute waste of money and time.,1.0,"Far too expensive for one book a month, thought I'd give it a try as it would be nice to carry on reading when I'm doing housework etc but was shocked to find that I can only listen to the book, if I want to read it myself at any point then I have to pay for the book separately as well! I read books because I love to read, if I can't read it myself when I want to then I'm not interested... I still have the original book I got for free in the first free trial and I haven't listed to it because if at any point I want to sit and read it myself I've got to shell out for the actual kindle version of the book too, an absolute rip off! The narrators read the book far too slowly for my liking too so it's a definite no from me!",27 August 2017
54,Julie smythe,love audible,5.0,I love audible i have subscribed for many years i can listen on any of my computers from PC/ laptop/and my phone and best of all my car -the samsung is blue teeth to my dashboard i can follow the same story on the train -at home-and driving -i buy a lot from Amazon it is so easy [and i am not an employee]you save all audible books over the years and can listen over and over again-Thanks Audible,16 October 2019
55,Arrse Biscuits,Tricked and Blatantly Misguided,1.0,Bought an audio book via Amazon account but then told (only after purchase) I would need an app to play it so immediately cancelled purchase.  Soon realised I had been auto subcribed to Audible and an account created.  Nothing during the purchase process alerted me this would happen.  No warnings. requests for permission etc.  Audible will not allow me to close down or delete this account without submission of my credit card details.  I now understand that Audible automatically copies ALL cards and payment details from my Amazon Account.  Shocked to say the least.,28 March 2018
56,Mags,Waste of money,1.0,I don't get the point of this - I will on be buying an Audible book when I want to listen to one as I prefer to read. There is no point in paying this sum every month if you're only going to download once in a while.,10 February 2017
57,Amazon Customer,Worst idea ever!,1.0,The worst deal and not very customer service orientated. Who'd benefit more from this (unrealistic) concept?  Certainly not the customer! Buying multiple audio books (at approx. £15 each) per month surely would benefit Amazon financially more than it does the customer so why not go with that idea instead?This practice feels a bit unethical and Amazon is better listening to its customers before continuing such practice.,22 January 2017
58,DeCook,What are you paying subscription for?,1.0,"With a £8 a month subscription fee, then you still have to pay more that full price for the title after that?!? I think I'll just buy physical copies that look nice on the shelf for 1/2 that price from ebay, oh and you don't need to pay a subscription there too.WHAT A RIP-OFF!",2 November 2018
59,Hitchcock's Apprentice,Absolutely baffled by the pricing of this deal. I ...,1.0,"Absolutely baffled by the pricing of this deal. I was tempted to join and had to re-read the inclusions of the £7.99 p/m membership. 1 audio book per month? Are you sure?!I'd expect unlimited books which are only accessible whilst you have an active membership. How many books would the average person actually listen to in a month? 1 week, maybe 2?Misjudged pricing i'm afraid, and for that reason...i'm oooout.",27 October 2016
60,B.S.DORAN,They Abandon you when things go wrong !!!!,1.0,"Received daily deals for the day for last number of years just suddenly stopped last Sunday, contacted Audible Support 4 times response was Backroom dealing with this problem, no feedback from this site, I am very disappointed with this site so would recommend looking at Google play for audio books , obviously Audible profits released recently are  more important than their customers!!!! Very poor service steer clear!!!",7 October 2018
61,Helen,very misleading,1.0,"I thought I was being offered 'credits' because I was an amazon prime member.  I had somehow - and not intentionally - signed up for membership.  Very misleading.. I still don't know how it happened as I would not take out membership.  I like physical books... but occasionally downloaded something.  Suddenly noticed amongst all the amazon purchases, a regular payment to audible.  Awful way to do business.. and mislead people who are regular amazon shoppers.",22 August 2019
62,Amazon Customer,One Star,1.0,Absolutely agree with comments.  Amazon needs to review its pricing strategy.,30 April 2017
63,Unseemly Medusa,Ask Amazon to help you out of creepy Audible snare.,1.0,"I found Audible sneakily dishonest, misleading ads, had to Google to find that YOU CAN ONLY CANCEL MEMBERSHIP ON DESKTOP! Audible has no problems taking your card details from a mobile though! This should be sorted immediately by Amazon. And staff in anonymous “SE Asian” call centre told me there was no free membership when subscribed to Amazon Prime! I said I’ve got multiple entries up on Google in front of me saying it is and has been for some time. Requested a manager and after a struggle and a long wait got man purporting to be a manager who did not want to do anything but see me subscribed to Audible forever. After 35 mins of grief I terminated the call and stopped the sub on my desktop. Then rang Amazon who immediately refunded the month’s sub taken. Amazon would have stopped the sub too if I hadn’t already managed to do it. These underhand tactics are not what I’d associate with Amazon. Either the Audible call centre are lying about the Prime free access or they don’t know what they’re doing. This sucks, big time. And this behaviour by a company taints Amazon, who, in my view, need to review Audible’s business practices before they upset any more customers!",31 December 2017
64,Angel75,Recomed anyone for Amazon audible 5*****,5.0,"I love Amazon audible, I listen to my stories every night and even in my car, I'm going through the famous five books which I loved as a kid, I like you can have a pre view as some voices I can't listen too, some books are expensive which is a shame so I wait to see if they go down in price, I have recommended this to a lot of family and friends who now have it, if you love stories and listening to them then go for it you won't look back x",20 March 2016
65,Amazon Customer,audible book advert misleading regarding cancellation,1.0,diabolical misleading advert. claims to be easy to cancel. been trying to find how exactly how for half hour now without sucess,13 April 2016
66,Phillip,Great value for money if your willing to invest,5.0,"I generally pay the £109.99 a year for 24 audio books. If i run a little low on credits Amazon often offers me 3 credits for £11. You can also return any books that you don't like. I understand that audiobooks have always cost more than traditional books, so i am happy to pay around £4.50 for the books that i want to keep. Not sure why there are so many 1 star reviews as i see it as pretty good value for money.",8 December 2019
67,Bazza1954,"This is not a good ""deal""",1.0,"I agree with JVS- by no stretch of the imagination is £100 per year for 12 books a ""deal"" based on one free book. Amazon have overpriced this service. A ""deal"" would be an introductory free period of 3 months then perhaps £5 per month thereafter.",5 March 2017
68,Amazon Customer,Too expensive,1.0,Way too expensive and misleading to offer a free book when actually you have to sign up and then remember to cancel after 30 days if you don't want to pay the monthly amount. £7.99 is a lot for one book per month.,28 May 2017
69,Shani,Huge range of books read by really good professional readers,4.0,"I think a lot of people who have written critical reviews of Audible aren't really audio book listeners. Audio books don't replace print, they're a different sort of experience. Audible has a huge range of books by really good readers, far more than your local library. Audio books are very expensive to produce and to buy - I've read reviews here saying they should be free, but what are the actors who read them supposed to live on? £7.99 for a long novel is a bargain. Having said that, I find the Audible format very restricting. I would like to listen on my mp3 player, also, putting them on CD so I can play them in the car is a long and tedious process.",12 March 2019
70,Mr. Anshuman Sen Gupta,Extracting money,1.0,No chance buying this ... I would rather have a PDF downloaded and use a app to read it. There are apps to read PDF ..Why would we need this!!,3 January 2017
